Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,4.31489752538512,4.390700340270996,4.234431212288837,4.390700340270996,4530935,0.0,0.0
2018-01-03,4.384870002770205,4.478164725524585,4.375540069177423,4.383703708648682,3818078,0.0,0.0
2018-01-04,4.402362973464427,4.411691648531239,4.341720294839359,4.347551345825195,4691347,0.0,0.0
2018-01-05,4.362712432858691,4.3848699238719275,4.3382219342649835,4.3638787269592285,2506450,0.0,0.0
2018-01-08,4.373207490645762,4.422188069443872,4.339388316081718,4.353382587432861,6146663,0.0,0.0
2018-01-09,4.372041041901598,4.408193222814728,4.349883970603475,4.394199371337891,2620664,0.0,0.0
2018-01-10,4.373206787404316,4.379037837707804,4.283410541875543,4.328892230987549,4201834,0.0,0.0
2018-01-11,4.355714359194648,4.390700240704045,4.2834104277442036,4.388367652893066,2981585,0.0,0.0
2018-01-12,4.394199595337811,4.426852895666885,4.355715243676548,4.403528690338135,3702265,0.0,0.0
2018-01-15,4.402362713126297,4.408192925008585,4.290408134460449,4.290408134460449,6006605,0.0,0.0
2018-01-16,4.300904252650546,4.353382029578734,4.289241732283286,4.33355712890625,2918759,0.0,0.0
2018-01-17,4.326560180986681,4.326560180986681,4.257754708155661,4.269416809082031,3680403,0.0,0.0
2018-01-18,4.286909820639359,4.330058925873703,4.281078769795934,4.293907165527344,3054739,0.0,0.0
2018-01-19,4.279912257652482,4.353382068645832,4.279912257652482,4.351049900054932,2855741,0.0,0.0
2018-01-22,4.355715051409041,4.355715051409041,4.300904681071766,4.317230701446533,2667287,0.0,0.0
2018-01-23,4.34988401635789,4.450176082192751,4.34988401635789,4.381371021270752,4517775,0.0,0.0
2018-01-24,4.382536952047999,4.393032759275301,4.340553723138787,4.3522162437438965,3434873,0.0,0.0
2018-01-25,4.326560373666635,4.352216325840261,4.219270550131611,4.246092796325684,5388880,0.0,0.0
2018-01-26,4.256588627651444,4.337055366685477,4.23676372608937,4.324227809906006,3003305,0.0,0.0
2018-01-29,4.332391444503163,4.332391444503163,4.275247231029644,4.310233116149902,1458505,0.0,0.0
2018-01-30,4.282244718094075,4.28924206310238,4.216938121787024,4.233265399932861,2806209,0.0,0.0
2018-01-31,4.242594206985416,4.285743733684144,4.228600774671404,4.268251419067383,3808990,0.0,0.0
2018-02-01,4.275247370926796,4.3615460022151815,4.275247370926796,4.3148980140686035,5189104,0.0,0.0
2018-02-02,4.291574193501201,4.292740487441421,4.164459896638688,4.170290946960449,3851042,0.0,0.0
