Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,4.931979841222079,4.938048958464256,4.857632160186768,4.857632160186768,20436928,0.0,0.0
2018-01-03,4.867495476831974,4.88722038269043,4.850805311010318,4.88722038269043,40678452,0.0,0.0
2018-01-04,4.887219377084165,5.054122447967529,4.884184999424025,5.054122447967529,54312699,0.0,0.0
2018-01-05,5.0601930672409035,5.120884979487793,5.022260441210432,5.111781120300293,18681354,0.0,0.0
2018-01-08,5.120883701341461,5.1360566756160875,5.06777811050415,5.06777811050415,11748272,0.0,0.0
2018-01-09,5.075366142281641,5.089021931323823,4.991914580471427,5.010122299194336,13155926,0.0,0.0
2018-01-10,4.994949466261101,5.013156823761744,4.93729192979486,4.955499649047852,16538068,0.0,0.0
2018-01-11,5.006666452122519,5.0438790994170555,4.977206270246396,5.023722171783447,22692928,0.14,0.0
2018-01-12,5.028373885301766,5.0748897876380505,5.02682346612655,5.062485694885254,14504474,0.0,0.0
2018-01-15,5.070238521177958,5.113653588252736,5.065586893645819,5.090395450592041,13955899,0.0,0.0
2018-01-16,5.116753649914117,5.233043581209427,5.10900118498803,5.19428014755249,24874217,0.0,0.0
2018-01-17,5.189629392490595,5.206685483609002,5.1524167413082225,5.198932647705078,22751969,0.0,0.0
2018-01-18,5.214437091825282,5.214437091825282,5.122955713394978,5.155517101287842,22826035,0.0,0.0
2018-01-19,5.144664564346275,5.203584567891598,5.11210316926477,5.177225589752197,42812300,0.0,0.0
2018-01-22,5.188078228583832,5.206684736342382,5.167921301737239,5.181876182556152,15873049,0.0,0.0
2018-01-23,5.209785776978669,5.245448005118105,5.184977591903865,5.219089031219482,21659667,0.0,0.0
2018-01-24,5.189628749224626,5.2438974847986755,5.189628749224626,5.23614501953125,15959216,0.0,0.0
2018-01-25,5.248549517346654,5.268706446145066,5.18032626508502,5.212887287139893,16910421,0.0,0.0
2018-01-26,5.248548445160834,5.250098864082282,5.186527252197266,5.186527252197266,11015146,0.0,0.0
2018-01-29,5.169472609794245,5.169472609794245,5.10745103426061,5.130709171295166,12632709,0.0,0.0
2018-01-30,5.104350462495195,5.12605781174471,5.0547333473458185,5.077991485595703,13058564,0.0,0.0
2018-01-31,5.077990230559045,5.095045947943225,5.051630890498757,5.084192276000977,14408812,0.0,0.0
2018-02-01,5.0965964974176785,5.169471734672126,5.029923675439491,5.043878555297852,16119243,0.0,0.0
2018-02-02,5.034575566231759,5.034575566231759,4.949296233301005,4.963251113891602,15051431,0.0,0.0
2018-02-05,4.933791261887874,5.015969392485,4.890376567840576,4.890376567840576,21638595,0.0,0.0
2018-02-06,4.726020086839495,4.846961278685953,4.6438415903889565,4.696559906005859,29188702,0.0,0.0
2018-02-07,4.763232829336216,4.8050971031188965,4.718267347627755,4.8050971031188965,23275462,0.0,0.0
2018-02-08,4.758581438249891,4.781839574657751,4.710515115907696,4.721368789672852,40772768,0.0,0.0
2018-02-09,4.687257078082387,4.719818100062678,4.615932617832232,4.6345391273498535,28295098,0.0,0.0
2018-02-12,4.6671003835670986,4.726020753546354,4.6469434538032015,4.718267917633057,19756048,0.0,0.0
2018-02-13,4.724470566655822,4.729122194861501,4.646944046020508,4.646944046020508,14536600,0.0,0.0
2018-02-14,4.676402965189737,4.721368445853433,4.637639530557979,4.681054592132568,19025416,0.0,0.0
2018-02-15,4.707413740661818,4.7167169948945915,4.6221344030954254,4.687256813049316,14239437,0.0,0.0
2018-02-16,4.713614859420809,4.761681540273485,4.705862395535976,4.746176242828369,32292698,0.0,0.0
2018-02-19,4.758580830272251,4.774086129337952,4.713615352079071,4.733772277832031,10688033,0.0,0.0
2018-02-20,4.716716728738134,4.7802883462823065,4.716716728738134,4.767884254455566,15428945,0.0,0.0
2018-02-21,4.7461762920781725,4.763232008542148,4.55235988716531,4.572516441345215,40861598,0.0,0.0
2018-02-22,4.574068353389343,4.660898115245753,4.558563051974825,4.6500444412231445,22487720,0.0,0.0
2018-02-23,4.622134192940798,4.733772499307174,4.59577522026342,4.732222080230713,21924109,0.0,0.0
2018-02-26,4.760131433990043,4.789591614260707,4.724469207787532,4.783389568328857,17709448,0.0,0.0
2018-02-27,4.775636478614268,4.806647076292895,4.75237871519304,4.781838893890381,14583452,0.0,0.0
2018-02-28,4.7461767704968265,4.78183899555298,4.710514545440674,4.710514545440674,20132705,0.0,0.0
2018-03-01,4.691908500395298,4.753929703175918,4.668650364514802,4.695009708404541,19739241,0.0,0.0
2018-03-02,4.662448919642936,4.687257477890675,4.5895740339421645,4.595776081085205,18785406,0.0,0.0
2018-03-05,4.574068298727374,4.698110708561161,4.567866252170792,4.685706615447998,12965680,0.0,0.0
2018-03-06,4.727571775351478,4.729122194861501,4.617483857276405,4.646944046020508,22491322,0.0,0.0
2018-03-07,4.620583248887439,4.6670991429758475,4.598875905581275,4.6422905921936035,17656517,0.0,0.0
2018-03-08,4.65934812544827,4.716717709002053,4.619034264119779,4.701212406158447,15104278,0.0,0.0
2018-03-09,4.699659869554567,4.739973715892542,4.645391514619171,4.6919074058532715,14169591,0.0,0.0
2018-03-12,4.741525386803169,4.775636824917947,4.690357859955492,4.696559906005859,18255372,0.0,0.0
2018-03-13,4.696560216263216,4.726020399043008,4.654695940563268,4.662448406219482,20897619,0.0,0.0
